"ID","Afqt80","Afqt89","Afqt06"
"1",".",".","."
"2","12","9","6841"
"3","51","46","49444"
"4","62","48","55761"
"5","90","99","96772"
"6","99","99","99393"
"7","33","35","47412"
"8","43","42","44022"
"9","55","51","59683"
"10","27","21","30039"
"11","71","81","85347"
"12","94","89","89641"
"13","78","85","72313"
"14","88","92","98798"
"15","83","69","82260"
"16","63","57","50283"
"17","84","88","89669"
"18","99","98","95977"
"19",".",".","."
"20","54","63","67021"
"21","94","94","88416"
"22","84","84","89167"
"23","94","91","83214"
"24","66","61","66029"
"25","60","57","51390"
"26","96","96","97075"
"27","85","97","96674"
"28","93","93","92784"
"29","18","13","25905"
"30","14","9","8528"
"31",".",".","."
"32",".",".","."
"33",".",".","."
"34","15","13","6069"
"35","45","44","53046"
"36",".",".","."
"37","60","59","56290"
"38","17","13","12788"
"39","35","29","26851"
"40","38","38","38419"
"41","45","54","57095"
"42","20","16","22326"
"43","9","13","15325"
"44","42","37","37061"
"45","43","49","50629"
"46","58","63","78095"
"47","78","77","75473"
"48","36","32","24806"
"49","81","66","71226"
"50","87","79","78742"
"51",".",".","."
"52","89","86","69080"
"53","38","41","43641"
"54",".",".","."
"55",".",".","."
"56","44","56","76020"
"57","38","38","30830"
"58","96","87","91625"
"59","96","97","98841"
"60","68","75","82980"
"61","99","99","99150"
"62","30","31","36384"
"63","95","91","87934"
"64","79","88","92989"
"65","72","71","75171"
"66","14","18","22649"
"67","99","99","93246"
"68","99","99","100000"
"69","72","78","86703"
"70",".",".","."
"71","99","99","98077"
"72","91","84","80538"
"73","64","71","81527"
"74","88","93","95536"
"75","65","68","83379"
"76","27","31","42780"
"77","60","84","96835"
"78","78","88","85347"
"79","97","96","96084"
"80","60","70","78759"
"81","21","21","29497"
"82","1","2","2168"
"83","4","4","2366"
"84","13","12","21008"
"85","1","1","2427"
"86","1","3","7198"
"87","2","3","12463"
"88","88","92","80798"
"89","84","80","84980"
"90","74","89","80298"
"91","19","15","22823"
"92","33","37","44375"
"93","15","18","28438"
"94",".",".","."
"95","27","26","34573"
"96","36","32","36772"
"97","60","65","59411"
"98","72","71","69552"
"99",".",".","."
"100","35","29","40421"
"101","74","93","87368"
"102","40","50","56649"
"103","65","84","76421"
"104","41","50","48175"
"105","93","85","81787"
"106","98","94","87651"
"107","67","58","65347"
"108","99","93","96818"
"109","46","50","57445"
"110","75","75","64697"
"111","33","42","46195"
"112","28","32","39529"
"113","63","59","64537"
"114","76","73","75984"
"115","59","80","85492"
"116","50","55","62654"
"117","92","97","98349"
"118","31","30","29212"
"119","27","35","27671"
"120","98","97","97847"
"121","81","84","92618"
"122","63","56","52132"
"123","90","89","92204"
"124","29","36","40114"
"125","25","33","32107"
"126","72","71","67259"
"127","34","39","36287"
"128","89","71","59846"
"129","73","92","92817"
"130",".",".","."
"131",".",".","."
"132",".",".","."
"133","49","44","57983"
"134","46","50","47098"
"135","32","29","38315"
"136","13","10","5875"
"137","89","87","87283"
"138","79","80","88326"
"139","69","64","79832"
"140","65","74","72878"
"141","71","81","85861"
"142",".",".","."
"143","66","63","59838"
"144","28","29","37874"
"145","51","52","62607"
"146","74","84","86932"
"147","32","25","22466"
"148","64","65","74997"
"149","30","29","39973"
"150","42","41","38129"
"151","34","33","28478"
"152","94","92","93332"
"153",".",".","."
"154",".",".","."
"155","34","35","47003"
"156","7","6","4975"
"157","47","47","43873"
"158","86","85","85206"
"159","95","93","89686"
"160","85","80","77440"
"161","29","31","47296"
"162","92","98","98253"
"163","63","77","86427"
"164","20","21","22240"
"165","50","43","46506"
"166","64","57","58432"
"167","30","28","33598"
"168","16","21","19981"
"169","17","17","18862"
"170",".",".","."
"171","85","80","82207"
"172","1","1","1230"
"173","60","56","71044"
"174","48","57","47279"
"175",".",".","."
"176","89","85","82495"
"177","49","48","51881"
"178","91","82","77068"
"179","43","42","30455"
"180","90","84","88334"
"181",".",".","."
"182",".",".","."
"183","48","57","49623"
"184","60","62","59078"
"185","35","48","77155"
"186","87","78","81515"
"187","37","42","58788"
"188","18","18","11983"
"189","55","65","59286"
"190","59","73","73636"
"191","74","73","89270"
"192","65","72","80480"
"193","54","65","45527"
"194","49","53","68738"
"195","94","90","87917"
"196","93","91","95117"
"197","18","15","17107"
"198","63","63","64239"
"199","25","24","19225"
"200","25","24","27551"
"201","98","95","86603"
"202","73","75","73184"
"203","29","18","13970"
"204","22","22","17136"
"205","6","4","5082"
"206","23","18","26440"
"207","15","14","25802"
"208","22","18","10352"
"209","69","66","49080"
"210","50","53","59040"
"211","59","64","74988"
"212","54","64","57814"
"213","99","99","99460"
"214","52","54","79883"
"215","50","56","66226"
"216",".",".","."
"217",".",".","."
"218","84","93","81447"
"219","65","63","60012"
"220","89","89","89381"
"221","1","2","5315"
"222","1","1","787"
"223","3","3","9190"
"224","14","15","13326"
"225","1","2","2604"
"226","12","16","25781"
"227","7","7","6599"
"228","4","2","2739"
"229","40","38","52042"
"230","28","29","34084"
"231","42","42","36443"
"232","51","55","55780"
"233","19","19","31472"
"234","31","27","35461"
"235","52","62","61313"
"236","69","63","71673"
"237","74","67","64751"
"238",".",".","."
"239","7","10","13294"
"240","46","46","50483"
"241","11","17","22027"
"242","32","35","30481"
"243","71","74","62957"
"244","80","79","73828"
"245","89","85","81929"
"246","64","80","82913"
"247","63","69","52544"
"248","12","13","8261"
"249","46","39","45311"
"250",".",".","."
"251",".",".","."
"252",".",".","."
"253","17","22","34745"
"254","98","94","94821"
"255","52","42","46148"
"256","48","51","56308"
"257","49","40","58214"
"258","98","81","76189"
"259","66","69","56348"
"260","89","88","83227"
"261","75","70","73360"
"262","47","45","33669"
"263","29","41","49339"
"264","91","87","93397"
"265","93","95","96501"
"266",".",".","."
"267","14","25","23365"
"268","58","54","49643"
"269","74","87","83698"
"270","63","72","77208"
"271","39","39","53793"
"272","95","89","94116"
"273","76","70","64372"
"274","87","84","88343"
"275","53","62","72963"
"276","44","44","48015"
"277","31","33","32567"
"278","48","44","51427"
"279","46","51","59272"
"280","81","89","89706"
"281","83","81","72769"
"282","77","79","85400"
"283","26","22","15136"
"284","42","44","44708"
"285","18","13","15448"
"286","43","51","62147"
"287","42","31","22699"
"288","19","14","15312"
"289","24","23","28861"
"290","8","8","11136"
"291","35","48","42445"
"292","96","89","92223"
"293","87","94","91927"
"294","44","53","62191"
"295","21","23","29995"
"296","25","15","25280"
"297","72","69","68168"
"298","12","8","13483"
"299","12","11","12439"
"300","2","2","2026"
"301","23","22","18916"
"302","5","6","5281"
"303","6","5","7399"
"304","3","3","11630"
"305","38","31","40990"
"306","34","24","27277"
"307","65","53","48032"
"308","14","12","10489"
"309","27","25","27779"
"310","21","18","18491"
"311","13","15","24685"
"312","42","49","52017"
"313","29","27","30794"
"314",".",".","."
"315","2","4","4138"
"316","16","12","18097"
"317","83","84","78739"
"318","13","13","19254"
"319","65","66","58575"
"320","64","73","68032"
"321","63","81","76525"
"322","42","34","23404"
"323","54","68","65825"
"324","9","7","10373"
"325","60","61","79151"
"326",".",".","."
"327","83","92","88257"
"328",".",".","."
"329","3","8","11508"
"330","13","14","12377"
"331","7","2","3428"
"332","27","27","33426"
"333","54","42","31724"
"334","28","27","25149"
"335","52","64","62746"
"336","19","23","25563"
"337","1","1","9044"
"338","14","20","23937"
"339","8","11","14391"
"340","18","14","20415"
"341","63","54","46696"
"342","91","96","95123"
"343","1","1","738"
"344","89","95","95959"
"345","42","51","59310"
"346","49","37","43221"
"347","69","62","65774"
"348","55","56","36155"
"349","38","40","35208"
"350","38","46","47180"
"351","26","24","19021"
"352","60","45","40321"
"353","46","53","53498"
"354","78","71","65997"
"355","41","42","55481"
"356","52","43","41794"
"357","66","59","68746"
"358","34","32","28374"
"359","39","32","37740"
"360","80","87","80272"
"361","87","77","72327"
"362","16","25","19625"
"363","32","31","29278"
"364","87","88","87760"
"365","59","58","51397"
"366","47","56","61884"
"367","81","80","76624"
"368","79","75","72481"
"369","95","94","91042"
"370","89","92","89893"
"371","59","59","69348"
"372","77","90","94680"
"373","17","19","11771"
"374","17","16","15933"
"375","11","10","11374"
"376","89","76","83170"
"377","32","35","32899"
"378","30","26","22233"
"379","1","4","13260"
"380","8","10","10471"
"381","68","58","49149"
"382","5","7","11672"
"383","25","32","34902"
"384","27","27","40297"
"385","28","35","39687"
"386","55","52","63197"
"387","1","1","5552"
"388","73","71","78241"
"389",".",".","."
"390","14","7","4998"
"391","16","20","23959"
"392","88","90","93142"
"393","67","80","76768"
"394","5","5","6294"
"395","26","37","43910"
"396","17","12","19013"
"397","4","3","7921"
"398","34","28","17477"
"399","78","76","66314"
"400","99","99","100000"
"401","25","24","24833"
"402","28","29","24406"
"403","4","6","3253"
"404","12","9","6911"
"405","24","22","16239"
"406","34","33","43726"
"407","49","40","45758"
"408","89","79","85102"
"409","82","92","90513"
"410","68","64","68615"
"411","12","17","18169"
"412","59","56","64607"
"413","26","23","21730"
"414","65","64","73351"
"415","14","12","9537"
"416","73","68","53109"
"417","49","56","55338"
"418","59","45","60767"
"419","63","51","48516"
"420","49","56","66045"
"421","99","99","100000"
"422","99","99","99379"
"423",".",".","."
"424","96","89","89434"
"425","52","44","39354"
"426","44","36","27838"
"427",".",".","."
"428","81","78","81231"
"429","94","92","83776"
"430",".",".","."
"431","75","71","78081"
"432","3","4","1513"
"433","3","4","1622"
"434","50","49","65734"
"435","16","23","26121"
"436","65","58","68679"
"437","63","64","71472"
"438","69","80","79950"
"439","81","78","75485"
"440","54","53","48613"
"441","4","5","10989"
"442","43","56","64195"
"443","89","96","97365"
"444","62","72","80238"
"445","69","77","93639"
"446","29","29","25328"
"447","11","18","16163"
"448","3","5","3016"
"449","68","50","47638"
"450","31","25","27423"
"451","17","19","39692"
"452","37","46","55829"
"453","73","70","72199"
