"SubjectTag","SurveyYear","Age","Generation","Gender","InchesTotal","HeightZAgeGender"
301,2002,21,2,2,66,0.489423327229364
302,2008,24,2,2,70,1.98312205420134
303,2010,24,2,2,67,0.888698998947474
401,1998,17,2,1,69,-0.30481034385023
801,2000,24,2,2,68,1.2535066840321
802,2004,24,2,1,74,1.17108464204893
803,2006,23,2,2,69,1.4615362418355
1001,2002,19,2,2,66,0.466215815811856
1601,2010,19,2,1,72,0.570766085282081
1602,2010,16,2,1,72,0.752207479899074
1901,2010,22,2,2,66,0.515390182481005
2001,2010,19,2,2,62,-0.911722153348207
2501,2010,19,2,1,69,-0.376462737100947
2502,2010,16,2,2,66,0.55053829244556
2701,2010,21,2,2,66,0.489423327229364
2702,2010,18,2,1,69,-0.435980549879237
3001,2002,19,2,1,73,0.886509026076423
3003,2010,18,2,1,67,-1.11104720775676
4301,2006,23,2,2,63,-0.508360431942781
4302,2010,21,2,2,62,-0.871595588657143
4401,2000,18,2,2,63,-0.577747632417546
4402,2010,24,2,2,64,-0.205724056306393
4901,2006,23,2,1,72,0.573494841913946
4902,2010,22,2,1,69,-0.473844341084092
5001,2002,16,2,1,69,-0.182215286576611
5002,2010,22,2,1,72,0.512674095026959
5005,2010,17,2,2,67,0.816029590072314
5701,2004,24,2,1,71,0.170937007966158
5801,2006,24,2,2,61,-1.30014711156026
5802,2008,24,2,2,66,0.523891313862852
5803,2010,21,2,1,70,-0.103732944259383
6101,2010,16,2,2,65,0.190460375323854
6801,2010,16,2,2,67,0.910616209567265
7801,2010,20,2,2,60,-1.63507764194749
8601,2002,24,2,2,64,-0.205724056306393
8901,2010,24,2,2,62,-0.935339426475638
9101,2010,16,2,1,69,-0.182215286576611
9201,2000,17,2,1,69,-0.30481034385023
9501,2010,24,2,1,71,0.170937007966158
9502,2010,22,2,1,68,-0.802683819787775
9503,2010,21,2,1,70,-0.103732944259383
9601,2004,23,2,2,67,0.804904017242739
9602,2010,23,2,2,66,0.476587904946359
9701,2010,22,2,1,72,0.512674095026959
9702,2010,20,2,1,71,0.169303840381376
9801,2010,22,2,1,72,0.512674095026959
9802,2010,19,2,1,68,-0.69220567789529
9901,2010,22,2,1,71,0.183834616323276
9902,2010,17,2,1,70,0.0188840227604028
10001,2006,21,2,1,71,0.220360867777522
10002,2010,18,2,1,70,-0.098447220940474
10003,2010,17,2,2,64,-0.209997252022065
11101,2006,24,2,2,63,-0.570531741391015
11102,2008,24,2,2,61,-1.30014711156026
