C0000100,C0000200,HtSt,HtSt19to25,WtSt,WtSt19to25
1155601,11556,,,,
5003,50,,,,
5004,50,,,,
29403,294,,,,
30501,305,,,,
36501,365,,,,
49101,491,,,,
53001,530,,,,
59301,593,,,,
59302,593,,,,
63401,634,,,,
63402,634,,,,
66805,668,,,,
68903,689,,,,
69402,694,,,,
69403,694,,,,
69404,694,,,,
84502,845,,,,
86901,869,,,,
86902,869,,,,
90401,904,,,,
93001,930,,,,
93002,930,,,,
101903,1019,,,,
103304,1033,,,,
108704,1087,,,,
112101,1121,,,,
112102,1121,,,,
112601,1126,,,,
115902,1159,,,,
116201,1162,,,,
121404,1214,,,,
129802,1298,,,,
130201,1302,,,,
138201,1382,,,,
139801,1398,,,,
140003,1400,,,,
140701,1407,,,,
144303,1443,,,,
147801,1478,,,,
147802,1478,,,,
152502,1525,,,,
153101,1531,,,,
168903,1689,,,,
170503,1705,,,,
171602,1716,,,,
172202,1722,,,,
172203,1722,,,,
172702,1727,,,,
173801,1738,,,,
175202,1752,,,,
180101,1801,,,,
190701,1907,,,,
200902,2009,-0.412180396,,,
205301,2053,,,,
206101,2061,,,,
220604,2206,,,,
220605,2206,,,,
226703,2267,,,,
226709,2267,,,,
227401,2274,,,,
227502,2275,,,,
231906,2319,,,,
240204,2402,,,,
240404,2404,,,,
251101,2511,,,,
251901,2519,,,,
252503,2525,,,,
253104,2531,,,,
253601,2536,,,,
253602,2536,,,,
278902,2789,,,,
291001,2910,,,,
293501,2935,,,,
304601,3046,,,,
317601,3176,,,,
318203,3182,,,,
329801,3298,,,,
331603,3316,,,,
331605,3316,,,,
333903,3339,,,,
338301,3383,,,,
344802,3448,,,,
344804,3448,,,,
344805,3448,,,,
348502,3485,,,,
351201,3512,,,,
354402,3544,,,,
354406,3544,,,,
360302,3603,,,,
362401,3624,,,,
363702,3637,,,,
364701,3647,,,,
364802,3648,,,,
365410,3654,,,,
368804,3688,,,,
373703,3737,,,,
379001,3790,,,,
381301,3813,,,,
381302,3813,,,,
386401,3864,,,,
394001,3940,,,,
397702,3977,,,,
408002,4080,,,,
408301,4083,,,,
417502,4175,,,,
419002,4190,,,,
423202,4232,,,,
428601,4286,,,,
443402,4434,,,,
446302,4463,,,,
447501,4475,,,,
447503,4475,,,,
448802,4488,,,,
450505,4505,,,,
452202,4522,,,,
469101,4691,,,,
469102,4691,,,,
470603,4706,,,,
474402,4744,,,,
477701,4777,,,,
479004,4790,,,,
479201,4792,,,,
480101,4801,,,,
481001,4810,,,,
481703,4817,,,,
488601,4886,,,,
488701,4887,,,,
495102,4951,,,,
497301,4973,,,,
500801,5008,,,,
505701,5057,,,,
505702,5057,,,,
508101,5081,,,,
508103,5081,,,,
515401,5154,,,,
524002,5240,,,,
528301,5283,,,,
538001,5380,,,,
538002,5380,,,,
552401,5524,,,,
558902,5589,,,,
565901,5659,,,,
565902,5659,,,,
568101,5681,,,,
568102,5681,,,,
568103,5681,,,,
568902,5689,,,,
571601,5716,,,,
571602,5716,,,,
573202,5732,,,,
577304,5773,,,,
578202,5782,,,,
579305,5793,,,,
594401,5944,,,,
595103,5951,,,,
595601,5956,,,,
599101,5991,,,,
603603,6036,,,,
605801,6058,,,,
620301,6203,,,,
620302,6203,,,,
620401,6204,,,,
621401,6214,,,,
621402,6214,,,,
622701,6227,,,,
627302,6273,,,,
628301,6283,,,,
628403,6284,,,,
629302,6293,,,,
633101,6331,,,,
637102,6371,,,,
637203,6372,,,,
644401,6444,,,,
647204,6472,0.080425443,,,
652002,6520,,,,
652103,6521,,,,
652303,6523,,,,
652402,6524,,,,
