"ExtendedID","Subject1Tag","Subject2Tag","RelationshipPath","R","MultipleBirth","IsMz","Subject1LastSurvey","Subject2LastSurvey","RImplicitPass1","RImplicit","RImplicit2004","RImplicitDifference","RExplicit","RExplicitPass1","RPass1","RExplicitOlderSibVersion","RExplicitYoungerSibVersion","GenerationSubject1","GenerationSubject2","Subject1ID","Subject2ID"
2,200,201,4,0.5,0,0,2008,2004,0.5,0.5,0.5,0,0.5,0.5,0.5,NA,NA,2,2,200,201
2,200,202,4,0.5,0,0,2008,2004,0.5,0.5,0.5,0,0.5,0.5,0.5,NA,NA,2,2,200,202
2,201,202,2,0.5,0,0,2004,2004,0.5,0.5,0.5,0,NA,NA,0.5,NA,NA,2,2,201,202
3,300,400,1,0.5,0,0,2008,1998,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,2,2,300,400
3,300,301,4,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,NA,NA,2,2,300,301
3,300,302,4,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,NA,NA,2,2,300,302
3,300,303,4,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,NA,NA,2,2,300,303
3,300,401,5,0.25,0,0,2008,1998,NA,NA,NA,NA,0.25,0.25,0.25,NA,NA,2,2,300,401
3,300,403,5,0.25,0,0,2008,NA,NA,NA,NA,NA,0.25,0.25,0.25,NA,NA,2,2,300,403
3,301,302,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,301,302
3,301,303,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,301,303
3,301,400,5,0.25,0,0,2008,1998,NA,NA,NA,NA,0.25,0.25,0.25,NA,NA,2,2,301,400
3,301,401,3,0.125,0,0,2008,1998,NA,NA,NA,NA,0.125,0.125,0.125,NA,NA,2,2,301,401
3,301,403,3,0.125,0,0,2008,NA,NA,NA,NA,NA,0.125,0.125,0.125,NA,NA,2,2,301,403
