"ID","Race","Gender","Afqt80","Afqt89","Afqt_06","Voted","PolitAffil","PolitStrength","ClosestParty","FollowsPolit","FedGovActsForPpl","label","Afqt06","Polit_Strength","Follows_Polit","Polit_Affil","Closest_Party","Intell","Strength","Orientation"
"1","3","2",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"2","3","2","12","9","6841","0.718201162","1","1",".","2","2","RACL/ETHNIC COHORT /SCRNR 79","6.841","0.8329071367","0.510399862","-1",".","6.841","0.6871693869","-1"
"3","3","2","51","46","49444","-0.05481221","1","1",".","3","4","RACL/ETHNIC COHORT /SCRNR 79","49.444","0.8329071367","-0.3237158","-1",".","49.444","0.1514597088","-1"
"4","3","2","62","48","55761",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","55.761",".",".",".",".","55.761",".","."
"5","3","1","90","99","96772",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","96.772",".",".",".",".","96.772",".","."
"6","3","1","99","99","99393","0.718201162","2","1",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","99.393","0.8329071367","-0.3237158","1",".","99.393","0.4091308328","1"
"7","3","1","33","35","47412","0.718201162","2","1",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","47.412","0.8329071367","1.3445155243","1",".","47.412","0.965207941","1"
"8","3","2","43","42","44022","0.718201162","3",".","0","3","4","RACL/ETHNIC COHORT /SCRNR 79","44.022",".","-0.3237158",".",".","44.022","0.1972426808","."
"9","3","1","55","51","59683","0.718201162","3",".","1","3","3","RACL/ETHNIC COHORT /SCRNR 79","59.683",".","-0.3237158",".","1","59.683","0.1972426808","1"
"10","3","2","27","21","30039",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","30.039",".",".",".",".","30.039",".","."
"11","3","1","71","81","85347",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","85.347",".",".",".",".","85.347",".","."
"12","3","2","94","89","89641",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","89.641",".",".",".",".","89.641",".","."
"13","3","1","78","85","72313",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","72.313",".",".",".",".","72.313",".","."
"14","3","2","88","92","98798","0.718201162","2","2",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","98.798","-1.200377928","-0.3237158","1",".","98.798","-0.268630856","1"
"15","3","1","83","69","82260","0.718201162","2","1",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","82.26","0.8329071367","1.3445155243","1",".","82.26","0.965207941","1"
"16","3","2","63","57","50283","0.718201162","2","2",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","50.283","-1.200377928","-0.3237158","1",".","50.283","-0.268630856","1"
"17","3","1","84","88","89669","0.718201162","3",".","4","1","5","RACL/ETHNIC COHORT /SCRNR 79","89.669",".","1.3445155243",".","0","89.669","1.0313583431","0"
"18","3","1","99","98","95977","0.718201162","2","1",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","95.977","0.8329071367","1.3445155243","1",".","95.977","0.965207941","1"
"19","3","2",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"20","3","2","54","63","67021","0.718201162","3",".","3","3","3","RACL/ETHNIC COHORT /SCRNR 79","67.021",".","-0.3237158",".","0","67.021","0.1972426808","0"
"21","3","2","94","94","88416","0.718201162","1","1",".","1","3","RACL/ETHNIC COHORT /SCRNR 79","88.416","0.8329071367","1.3445155243","-1",".","88.416","0.965207941","-1"
"22","3","2","84","84","89167","0.718201162","2","1",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","89.167","0.8329071367","0.510399862","1",".","89.167","0.6871693869","1"
"23","3","1","94","91","83214",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","83.214",".",".",".",".","83.214",".","."
