ExtendedID,SubjectTag_S1,SubjectTag_S2,R,RelationshipPath
2,200,201,0.5,ParentChild
2,200,202,0.5,ParentChild
2,201,202,0.5,Gen2Siblings
3,300,301,0.5,ParentChild
3,300,302,0.5,ParentChild
3,300,303,0.5,ParentChild
3,300,400,0.5,Gen1Housemates
3,300,401,0.25,AuntNiece
3,300,403,0.25,AuntNiece
3,301,302,0.5,Gen2Siblings
3,301,303,0.5,Gen2Siblings
3,301,400,0.25,AuntNiece
3,301,401,0.125,Gen2Cousins
3,301,403,0.125,Gen2Cousins
3,302,303,0.5,Gen2Siblings
3,302,400,0.25,AuntNiece
3,302,401,0.125,Gen2Cousins
3,302,403,0.125,Gen2Cousins
3,303,400,0.25,AuntNiece
3,303,401,0.125,Gen2Cousins
3,303,403,0.125,Gen2Cousins
3,400,401,0.5,ParentChild
3,400,403,0.5,ParentChild
3,401,403,0.25,Gen2Siblings
5,500,600,0.5,Gen1Housemates
8,800,801,0.5,ParentChild
8,800,802,0.5,ParentChild
8,800,803,0.5,ParentChild
8,801,802,0.5,Gen2Siblings
8,801,803,0.5,Gen2Siblings
8,802,803,0.5,Gen2Siblings
10,1000,1001,0.5,ParentChild
10,1000,1002,0.5,ParentChild
10,1001,1002,0.5,Gen2Siblings
12,1200,1201,0.5,ParentChild
12,1200,1202,0.5,ParentChild
12,1201,1202,0.5,Gen2Siblings
13,1300,1400,0.5,Gen1Housemates
16,1600,1601,0.5,ParentChild
16,1600,1602,0.5,ParentChild
16,1600,1603,0.5,ParentChild
16,1601,1602,0.5,Gen2Siblings
16,1601,1603,0.5,Gen2Siblings
16,1602,1603,0.5,Gen2Siblings
17,1700,1800,0.5,Gen1Housemates
19,1900,1901,0.5,ParentChild
20,2000,2001,0.5,ParentChild
20,2000,2100,0.5,Gen1Housemates
20,2001,2100,0.25,AuntNiece
23,2300,2400,0.5,Gen1Housemates
25,2500,2501,0.5,ParentChild
25,2500,2502,0.5,ParentChild
25,2501,2502,0.5,Gen2Siblings
27,2700,2701,0.5,ParentChild
27,2700,2702,0.5,ParentChild
27,2700,2800,0.5,Gen1Housemates
27,2701,2702,0.5,Gen2Siblings
27,2701,2800,0.25,AuntNiece
27,2702,2800,0.25,AuntNiece
29,2900,3000,0.5,Gen1Housemates
29,2900,3001,0.25,AuntNiece
29,2900,3002,0.25,AuntNiece
29,2900,3003,0.25,AuntNiece
29,3000,3001,0.5,ParentChild
29,3000,3002,0.5,ParentChild
29,3000,3003,0.5,ParentChild
29,3001,3002,0.5,Gen2Siblings
29,3001,3003,0.5,Gen2Siblings
29,3002,3003,0.5,Gen2Siblings
32,3200,3300,0.5,Gen1Housemates
34,3400,3500,0.5,Gen1Housemates
34,3400,3501,0.25,AuntNiece
34,3400,3502,0.25,AuntNiece
34,3500,3501,0.5,ParentChild
34,3500,3502,0.5,ParentChild
34,3501,3502,0.5,Gen2Siblings
37,3700,3701,0.5,ParentChild
37,3700,3800,0.5,Gen1Housemates
37,3701,3800,0.25,AuntNiece
40,4000,4100,0.5,Gen1Housemates
43,4300,4301,0.5,ParentChild
43,4300,4302,0.5,ParentChild
43,4300,4303,0.5,ParentChild
43,4300,4304,0.5,ParentChild
43,4301,4302,0.25,Gen2Siblings
43,4301,4303,0.25,Gen2Siblings
43,4301,4304,0.25,Gen2Siblings
43,4302,4303,0.25,Gen2Siblings
43,4302,4304,0.25,Gen2Siblings
43,4303,4304,0.5,Gen2Siblings
44,4400,4401,0.5,ParentChild
44,4400,4402,0.5,ParentChild
44,4401,4402,0.5,Gen2Siblings
46,4600,4601,0.5,ParentChild
46,4600,4602,0.5,ParentChild
46,4601,4602,0.5,Gen2Siblings
49,4900,4901,0.5,ParentChild
49,4900,4902,0.5,ParentChild
49,4901,4902,0.5,Gen2Siblings
50,5000,5001,0.5,ParentChild
50,5000,5002,0.5,ParentChild
50,5000,5003,0.5,ParentChild
50,5000,5004,0.5,ParentChild
50,5000,5005,0.5,ParentChild
50,5000,5100,.,Gen1Housemates
50,5001,5002,0.25,Gen2Siblings
50,5001,5003,0.25,Gen2Siblings
50,5001,5004,0.25,Gen2Siblings
50,5001,5005,0.25,Gen2Siblings
50,5001,5100,.,AuntNiece
50,5002,5003,0.5,Gen2Siblings
50,5002,5004,0.5,Gen2Siblings
50,5002,5005,0.5,Gen2Siblings
50,5002,5100,.,AuntNiece
50,5003,5004,0.5,Gen2Siblings
50,5003,5005,0.5,Gen2Siblings
50,5003,5100,.,AuntNiece
50,5004,5005,0.5,Gen2Siblings
50,5004,5100,.,AuntNiece
50,5005,5100,.,AuntNiece
55,5500,5600,.,Gen1Housemates
57,5700,5701,0.5,ParentChild
57,5700,5702,0.5,ParentChild
57,5700,5703,0.5,ParentChild
57,5701,5702,0.25,Gen2Siblings
57,5701,5703,0.25,Gen2Siblings
57,5702,5703,0.5,Gen2Siblings
58,5800,5801,0.5,ParentChild
58,5800,5802,0.5,ParentChild
58,5800,5803,0.5,ParentChild
58,5800,5900,0.5,Gen1Housemates
58,5800,6000,0.5,Gen1Housemates
58,5801,5802,0.5,Gen2Siblings
58,5801,5803,0.5,Gen2Siblings
58,5801,5900,0.25,AuntNiece
58,5801,6000,0.25,AuntNiece
58,5802,5803,0.5,Gen2Siblings
58,5802,5900,0.25,AuntNiece
58,5802,6000,0.25,AuntNiece
58,5803,5900,0.25,AuntNiece
58,5803,6000,0.25,AuntNiece
58,5900,6000,0.5,Gen1Housemates
61,6100,6101,0.5,ParentChild
61,6100,6102,0.5,ParentChild
61,6100,6103,0.5,ParentChild
61,6100,6200,0.5,Gen1Housemates
61,6100,6201,0.25,AuntNiece
61,6100,6202,0.25,AuntNiece
61,6100,6203,0.25,AuntNiece
61,6101,6102,0.5,Gen2Siblings
61,6101,6103,0.5,Gen2Siblings
61,6101,6200,0.25,AuntNiece
61,6101,6201,0.125,Gen2Cousins
61,6101,6202,0.125,Gen2Cousins
61,6101,6203,0.125,Gen2Cousins
61,6102,6103,0.5,Gen2Siblings
61,6102,6200,0.25,AuntNiece
61,6102,6201,0.125,Gen2Cousins
61,6102,6202,0.125,Gen2Cousins
61,6102,6203,0.125,Gen2Cousins
61,6103,6200,0.25,AuntNiece
61,6103,6201,0.125,Gen2Cousins
61,6103,6202,0.125,Gen2Cousins
61,6103,6203,0.125,Gen2Cousins
61,6200,6201,0.5,ParentChild
61,6200,6202,0.5,ParentChild
61,6200,6203,0.5,ParentChild
61,6201,6202,0.5,Gen2Siblings
61,6201,6203,0.5,Gen2Siblings
61,6202,6203,0.5,Gen2Siblings
63,6300,6400,0.5,Gen1Housemates
63,6300,6500,0.5,Gen1Housemates
63,6400,6500,0.5,Gen1Housemates
67,6700,6800,0.5,Gen1Housemates
