"R0000100","R0214700","R0214800","R9908100","R9908200","R9908300","R9908600","R9909700","R9909800","R9910400"
1,3,2,-998,-998,-998,-999,-998,-998,-4
2,3,2,34,35,-996,33,11,1,0
3,3,2,19,22,24,19,8,1,0
4,3,2,18,34,-996,18,0,1,0
5,3,1,29,-997,-997,25,48,1,-4
6,3,1,30,34,36,28,23,1,-4
7,3,1,25,28,-996,-3,-999,-999,-4
8,3,2,17,20,24,17,4,1,0
9,3,1,27,29,-996,25,31,1,-4
10,3,2,22,27,-996,21,5,1,0
11,3,1,-998,-998,-998,-999,-998,-998,-4
12,3,2,30,33,-996,23,78,1,0
13,3,1,31,32,35,30,16,1,-4
14,3,2,-998,-998,-998,26,-998,-998,0
15,3,1,33,34,36,29,45,1,-4
16,3,2,31,34,37,29,19,1,1
17,3,1,-998,-998,-998,43,-998,-998,-4
18,3,1,19,25,27,21,29,0,-4
19,3,2,29,-997,-997,21,106,1,0
20,3,2,30,-997,-997,28,24,1,0
21,3,2,-998,-998,-998,31,-998,-998,0
22,3,2,-998,-998,-998,24,-998,-998,0
23,3,1,-998,-998,-998,-999,-998,-998,-4
24,3,1,25,28,-996,25,5,1,-4
25,3,2,30,33,-996,27,42,1,1
26,3,1,33,-997,-997,25,89,1,-4
27,3,2,27,31,-996,24,44,1,2
28,3,2,-998,-998,-998,21,-998,-998,0
29,3,2,-998,-998,-998,35,-998,-998,0
30,3,2,24,28,32,22,16,1,0
31,1,1,25,28,-996,20,57,1,-4
32,1,2,-998,-998,-998,31,-998,-998,0
33,1,1,-998,-998,-998,-999,-998,-998,-4
34,3,1,29,30,33,28,15,1,-4
35,3,2,26,29,-996,22,47,1,0
36,3,1,-998,-998,-998,18,-998,-998,-4
37,3,2,31,-997,-997,23,97,1,0
38,3,2,-998,-998,-998,25,-998,-998,0
39,3,1,37,-997,-997,33,54,1,-4
40,3,1,43,49,-996,20,270,1,-4
41,3,1,38,41,-996,37,18,1,-4
42,3,1,28,28,-996,27,9,1,-4
43,3,2,21,27,35,35,173,0,2
44,3,2,20,24,-996,19,10,1,0
45,3,1,34,-997,-997,26,90,1,-4
46,3,2,31,34,-996,26,56,1,0
47,3,1,-998,-998,-998,-999,-998,-998,-4
48,3,1,21,26,-996,22,17,0,-4
49,3,2,24,28,-996,20,54,1,0
50,3,2,26,29,31,29,30,0,1
51,3,1,15,-997,-997,-999,-997,-997,-4
52,3,1,23,25,-996,20,27,1,-4
53,1,1,-998,-998,-998,-999,-998,-998,-4
54,3,1,22,-997,-997,22,8,0,-4
55,3,1,-998,-998,-998,-999,-998,-998,-4
56,3,2,-998,-998,-998,-999,-998,-998,-4
57,3,2,21,37,39,19,26,1,0
58,3,2,24,27,31,22,23,1,2
59,3,1,-998,-998,-998,26,-998,-998,-4
60,3,1,27,31,-996,30,36,0,-4
61,3,2,30,31,40,22,98,1,2
62,3,2,32,34,37,26,71,1,0
63,3,1,32,-997,-997,31,11,1,-4
64,3,1,-998,-998,-998,-999,-998,-998,-4
65,3,2,-998,-998,-998,-999,-998,-998,0
66,3,1,28,31,-996,23,59,1,-4
67,3,1,36,36,-996,35,8,1,-4
68,3,2,31,33,34,29,23,1,0
69,3,1,27,30,-996,25,28,1,-4
70,3,1,40,-997,-997,34,71,1,-4
71,3,1,34,36,37,25,109,1,-4
72,3,2,-998,-998,-998,-999,-998,-998,0
73,3,1,46,46,-996,44,24,1,-4
74,3,2,-998,-998,-998,-999,-998,-998,0
75,3,2,31,34,-996,29,28,1,0
76,3,1,32,35,-996,-3,-999,-999,-4
77,3,2,-998,-998,-998,-999,-998,-998,0
78,3,2,31,34,39,31,9,1,0
79,3,1,30,31,33,28,21,1,-4
80,3,1,-998,-998,-998,-999,-998,-998,-4
81,3,1,-998,-998,-998,40,-998,-998,-4
82,2,1,20,23,37,-999,-997,-997,-4
83,2,1,-998,-998,-998,-999,-998,-998,-4
84,2,1,19,-997,-997,37,210,0,-4
