"SubjectTag","ExtendedID","Generation","Gender","RaceCohort","SiblingCountInNls","BirthOrderInNls","SimilarAgeCount","HasMzPossibly","KidCountBio","KidCountInNls","Mob","LastSurveyYearCompleted","AgeAtLastSurvey","IsDead","DeathDate"
100,1,1,2,3,1,1,1,0,0,0,1958-09-15,1981,22.776180267334,0,NA
200,2,1,2,3,1,1,1,0,2,2,1959-01-15,2010,51.1485290527344,0,NA
201,2,2,2,3,2,1,1,0,0,NA,1993-03-15,2004,11.2744693756104,0,NA
202,2,2,2,3,2,2,1,0,0,NA,1994-11-15,2004,9.60438060760498,0,NA
300,3,1,2,3,2,1,1,0,3,3,1961-08-15,2008,47.2197113037109,0,NA
301,3,2,2,3,3,1,1,0,NA,NA,1981-06-15,2010,28.7775497436523,0,NA
302,3,2,2,3,3,2,1,0,0,NA,1983-10-15,2010,26.7843933105469,0,NA
303,3,2,2,3,3,3,1,0,1,NA,1986-04-15,2010,24.3696098327637,0,NA
400,3,1,2,3,2,2,1,0,2,2,1962-08-15,1998,35.8275146484375,0,NA
401,3,2,1,3,2,1,1,0,NA,NA,1980-08-15,1998,17.8316230773926,0,NA
403,3,2,2,3,2,2,1,0,NA,NA,1997-03-15,NA,NA,0,NA
500,5,1,1,3,2,1,1,0,1,0,1959-07-15,1989,30.3928813934326,0,NA
600,5,1,1,3,2,2,1,0,3,0,1960-10-15,2010,49.744010925293,0,NA
700,7,1,1,3,1,1,1,0,2,0,1964-06-15,2010,45.6153335571289,0,NA
800,8,1,2,3,1,1,1,0,3,3,1958-07-15,2010,51.4332656860352,0,NA
801,8,2,2,3,3,1,1,0,3,NA,1976-03-15,2010,33.872688293457,0,NA
802,8,2,1,3,3,2,1,0,4,NA,1979-05-15,2008,28.7802867889404,0,NA
803,8,2,2,3,3,3,1,0,1,NA,1982-09-15,2010,27.3812465667725,0,NA
900,9,1,1,3,1,1,1,0,2,0,1963-07-15,2010,46.6255989074707,0,NA
1000,10,1,2,3,1,1,1,0,2,2,1960-10-15,1994,33.834358215332,0,NA
1001,10,2,2,3,2,1,1,0,NA,NA,1983-01-15,2010,27.6139621734619,0,NA
1002,10,2,2,3,2,2,1,0,0,NA,1988-07-15,1994,6.08898019790649,0,NA
1100,11,1,1,3,1,1,1,0,0,0,1959-07-15,2004,45.3744010925293,0,NA
1200,12,1,2,3,1,1,1,0,2,2,1959-09-15,1994,35.0937728881836,0,NA
1201,12,2,1,3,2,1,1,0,0,NA,1989-10-15,1994,5.02121829986572,0,NA
1202,12,2,1,3,2,2,1,0,0,NA,1993-08-15,1994,1.18822729587555,0,NA
1300,13,1,1,3,2,1,1,0,4,0,1958-08-15,2006,47.633129119873,0,NA
1400,13,1,2,3,2,2,1,0,0,0,1963-10-15,2010,46.3846664428711,0,NA
1500,15,1,1,3,1,1,1,0,4,0,1964-02-15,2010,45.9849433898926,0,NA
1600,16,1,2,3,1,1,1,0,3,3,1958-10-15,2010,51.3319625854492,0,NA
1601,16,2,1,3,3,1,1,0,0,NA,1990-02-15,2010,19.9945240020752,0,NA
1602,16,2,1,3,3,2,1,0,0,NA,1993-08-15,2010,16.4982891082764,0,NA
1603,16,2,2,3,3,3,1,0,0,NA,1996-09-15,2008,11.682409286499,0,NA
1700,17,1,1,3,2,1,1,0,0,0,1957-01-15,2010,53.1307334899902,0,NA
1800,17,1,1,3,2,2,1,0,4,0,1958-03-15,2010,51.8658447265625,0,NA
1900,19,1,2,3,1,1,1,0,1,1,1957-12-15,2010,52.0164260864258,0,NA
1901,19,2,2,3,1,1,1,0,NA,NA,1987-11-15,2010,22.6173858642578,0,NA
2000,20,1,2,3,2,1,1,0,1,1,1959-11-15,2008,48.5065040588379,0,NA
2001,20,2,2,3,1,1,1,0,NA,NA,1990-08-15,2010,19.3511295318604,0,NA
2100,20,1,2,3,2,2,1,0,0,0,1961-06-15,2010,48.7036285400391,0,NA
2200,22,1,2,3,1,1,1,0,0,0,1963-01-15,2010,47.1293640136719,0,NA
2300,23,1,1,3,2,1,1,0,0,0,1958-09-15,1992,34.0835037231445,0,NA
2400,23,1,1,3,2,2,1,0,2,0,1961-01-15,1998,37.6454467773438,0,NA
2500,25,1,2,3,1,1,1,0,2,2,1959-11-15,2010,50.140998840332,0,NA
2501,25,2,1,3,2,1,1,0,0,NA,1990-10-15,2010,19.3675556182861,0,NA
2502,25,2,2,3,2,2,1,0,NA,NA,1993-08-15,2010,16.394250869751,0,NA
2600,26,1,1,3,1,1,1,0,1,0,1962-09-15,2010,48.0328559875488,0,NA
2700,27,1,2,3,2,1,1,0,2,2,1960-05-15,2010,49.7631759643555,0,NA
2701,27,2,2,3,2,1,1,0,NA,NA,1988-02-15,2010,21.8124580383301,0,NA
2702,27,2,1,3,2,2,1,0,0,NA,1992-01-15,2010,18.420259475708,0,NA
2800,27,1,2,3,2,2,1,0,0,0,1964-01-15,2010,46.4120483398438,0,NA
2900,29,1,2,3,2,2,1,0,0,0,1960-10-15,2010,49.2758369445801,0,NA
3000,29,1,2,3,2,1,1,0,3,3,1958-11-15,2010,51.2772064208984,0,NA
3001,29,2,1,3,3,1,1,0,0,NA,1982-12-15,2010,27.2826824188232,0,NA
3002,29,2,1,3,3,2,1,0,0,NA,1987-03-15,2010,23.0636558532715,0,NA
3003,29,2,1,3,3,3,1,0,0,NA,1991-10-15,2010,18.4503765106201,0,NA
3100,31,1,1,1,1,1,1,0,2,0,1963-10-15,2010,46.2833671569824,0,NA
3200,32,1,2,1,2,1,1,0,0,0,1957-11-15,2010,52.6954154968262,0,NA
3300,32,1,1,1,2,2,1,0,0,0,1962-05-15,2010,48.2354545593262,0,NA
3400,34,1,1,3,2,1,1,0,3,0,1958-12-15,2010,51.1403160095215,0,NA
3500,34,1,2,3,2,2,1,0,2,2,1963-08-15,1998,34.9158096313477,0,NA
3501,34,2,2,3,2,1,1,0,0,NA,1990-05-15,1998,8.1670093536377,0,NA
3502,34,2,2,3,2,2,1,0,0,NA,1993-06-15,1998,5.08145093917847,0,NA
3600,36,1,1,3,1,1,1,0,0,0,1962-08-15,2010,47.4223136901855,0,NA
3700,37,1,2,3,2,1,1,0,1,1,1958-10-15,2010,51.3401794433594,0,NA
3701,37,2,2,3,1,1,1,0,0,NA,1990-04-15,2002,12.240930557251,0,NA
3800,37,1,2,3,2,2,1,0,0,0,1962-08-15,2010,47.4770698547363,0,NA
3900,39,1,1,3,1,1,1,0,1,0,1959-02-15,2010,50.943187713623,0,NA
4000,40,1,1,3,2,1,1,0,2,0,1960-02-15,2010,50.0670776367188,0,NA
4100,40,1,1,3,2,2,1,0,2,0,1962-04-15,2010,47.7891845703125,0,NA
4200,42,1,1,3,1,1,1,0,2,0,1963-09-15,2010,46.5160865783691,0,NA
4300,43,1,2,3,1,1,1,0,4,4,1961-06-15,2010,48.8542098999023,0,NA
4301,43,2,2,3,4,1,1,0,1,NA,1982-10-15,2010,27.5482540130615,0,NA
4302,43,2,2,3,4,2,1,0,NA,NA,1989-02-15,2010,21.1827507019043,0,NA
4303,43,2,2,3,4,3,1,0,0,NA,1997-02-15,2008,11.2306642532349,0,NA
4304,43,2,2,3,4,4,1,0,0,NA,2000-04-15,2008,8.06844615936279,0,NA
4400,44,1,2,3,1,1,1,0,2,2,1961-04-15,2010,48.8952789306641,0,NA
4401,44,2,2,3,2,1,1,0,NA,NA,1981-09-15,2010,28.2327175140381,0,NA
4402,44,2,2,3,2,2,1,0,1,NA,1985-07-15,2010,24.7255306243896,0,NA
4500,45,1,1,3,1,1,1,0,1,0,1959-11-15,1994,34.7816581726074,0,NA
4600,46,1,2,3,1,1,1,0,2,2,1962-11-15,2008,45.338809967041,0,NA
4601,46,2,2,3,2,1,1,0,0,NA,1994-04-15,2006,12.7419576644897,0,NA
4602,46,2,2,3,2,2,1,0,0,NA,1997-07-15,2006,9.49212837219238,0,NA
4700,47,1,1,3,1,1,1,0,0,0,1959-02-15,2010,51.044490814209,0,NA
4800,48,1,1,3,1,1,1,0,2,0,1958-10-15,1994,35.8685836791992,0,NA
4900,49,1,2,3,1,1,1,0,2,2,1958-05-15,2010,51.6386032104492,0,NA
4901,49,2,1,3,2,1,1,0,0,NA,1982-12-15,2010,27.2443523406982,0,NA
4902,49,2,1,3,2,2,1,0,0,NA,1987-03-15,2010,22.8117733001709,0,NA
5000,50,1,2,3,2,1,1,0,5,5,1958-09-15,2010,51.2854194641113,0,NA
5001,50,2,1,3,5,1,1,0,NA,NA,1985-07-15,2010,25.1197814941406,0,NA
5002,50,2,1,3,5,2,1,0,NA,NA,1988-07-15,2010,22.1190967559814,0,NA
